id,Comment,Label
4217,Hindu muslim elru ondagi irbeku antanu heltira avr avr madya dveshnanu huttaktira....,Religion
1021,Papaa broo sathya thilidhe video sikthu antha troll madbidadha,Others
6712,Sule anchor,Gender
4198,Already maklu na biti bandidira mate ega maaklu madkondu adunu konege biti beron atara hogtira plz makluge problem madbedi adru badlu Yast Jana nadru sumne madve maadkoli,Religion
3044,"????????, Hagidre 2002 ralli gujrath dange yava sulemaga Bandidda...<br><br>Gujrath dange bagge Ondu film madi thorisi.",Gender
3019,Lopar munde thu loose munde,Gender
4031,"Snake  sham,  Surya keerthi avrna  karsi  interview  madri.  Adukkadru bele irutte nimge... Stupid  media...",Others
1082,Ninnd englishooo ninnnu ennge madidru dove raninee,Gender
8022,Respect yaradru agali. Nivu cong kattalu nive CM agbeku anta namagu ase ide.,Political
4018,Bucket TV enro nimdu ond show nu nettag madak agalla,Others
2816,KESARI HUVAAAAAAH  VERY GOOD MEDICINE EAT THAT DRIED BEEJAAAAH THAKATH JASTHEEEHIRAHATHAE innu jasti kittadbahudu avaga,Political
2367,Film sijana tu bari segani talayalli tumbide,Political
5527,MODI BOOT ALLHA NEEKO DU nina dash dash,Political
7121,"Binge here kelsa elua yake benki kodo kelsa madtiya (ninmatu keli ha henmagalige munde ra,,,,,,anta baysiddiya nimaneli henmaklu elua",Violence
1369,Dabba meghana,Gender
2365,Superr vikash anna???? karnataka da ella hennu makkallu nanna tharane anthale dagar munde,Gender
1958,Dadda baddimagane  sariyagi yao anthane artha agilla.,Gender
850,Bomai kala nana maga,Gender
633,Amma think maadodu enthaa magalappa ithu ayyooo,Gender
4079,Btv ban agbeku guru bari faltu janara interview madtare thuu nim janmakke,Others
7339,Budget odokkintha munche yenu avasara evanige... Siddumullakhan ge... ð,Gender
948,ivlindale nam siddu sir sattogiddu,Gender
1779,ee chutya pratham bekitta ee channel ge,Others
2619,Ivanu jail inda bandaga en madidda gottillva namge,Gender
1258,eshtu episodes madidru sakagalla ee tamilians boli maklige en beko,Violence
5185,Sonu loss agide  ataaa anisute  vaaa nayi marre,Others
311,Bosude magana first nenaga chappli  hodebaku idu film kono,Violence
4830,Sadane bidi swamy.... Nivella change agalla.. est kottidhare duddu ee election ge?,Political
2054,"Rss bagi mathadere nin,,,,, mukha chachaktini",Gender
3468,3rd class congress party...ivara mukhavada kalachi bittu,Political
7496,Lo sudeepa yako Nayi balu baltidiya. ? E daridra bigboss show enda janakke yenu msg kodtidiya amikkond maneli kudu film madoke dam ella andre.. saniya matte Roopesh ge yenu byiyodilla e mindri maga,Others
1004,Haif.sule.magna.aiklu.batu. yammia.tanu,Gender
4874,Batte bichidde ivala sadane,Gender
5591,Daridra jeevana thoo thoo ??????,Gender
4457,Ayyo thaayi voice en ast ketdaagide dove raani,Gender
3609,Metere agauke avlu layak illa,Others
130,Nim avva frst saytale nodu ??????,Gender
6238,Election mundene ee cinema bandide andre..sarkaraa dharmagalanna use madkoltha ide ..,Religion
7316,match fixing madoralla enta aatagararu,Others
4478,sule munde,Gender
4051,All bjp MLA are supid fellows nachike illada nayigalu,Political
607,E dagar soolege heng irbeku antha gotilva....<br>Thu mother na control madtovle <br>Ningintha better nim taayi ishtella aadru maglu anthare,Gender
4794,Hooo amma taayi ???????? yaru madde irodne nin magalu madirodu ??,Gender
2899,Vikas nakan holle kule guru ????????????,Gender
6633,Nim avva Nan jote drama madiradke nin huttiddu chtya Nan magne,Gender
3641,Btv manager ge mett alli hodibeku. Paapa avra amma na yakro karsidira. Sonu dodd dagaru. Interview madta idiya alva ninu ninge vadibeku Kane. Tuu,Violence
1454,Kittodnannamaga en dudd kotre kole bekadru madtane,Gender
6224,Vikas bro starting speech is vere level bro <br>Sonu be like :yaarapa ee punyathma HAGE HAKO CHACCHHI,Geo-political
78,Evannaro doodda sulemaga BJP yavanu,Gender
4857,Lo kachada hijda nann magane yako bartira bay hakake,Gender
2746,DK  Anna Laxmi akka   <br>.Ramesh sullu bahal Dina nadalla,Political
3782,Super broo.............. Avala face nodi brooILI TINDAVAL TARA ADTALE,Gender
3528,Aaha enta mother neevu .enta magalau adbhuta . Enta magalanna padiyoke punya madirbegu . Modalu kapala  mokksha  madabeku evarege,Violence
7289,Oogi ri aval mokakke. Adyak innu idalo game alli,Religion
351,SHAATA DESHA...KARNATAKA BIKSHE BELUTHE...SEPERATE STATE ADRE,Political
5540,Papigala adhikara : Prukruthiya Vikopa,Violence
8,Nam desha inthavrinda uddara agilla 60 years  inda,Political
2038,Anchor yeno puss puss antavle,Others
1184,NKN Nam Karnataka Dalli Maklu Huccheuyoo astu Neer Kudilaa  Pakistandvru Jatre Shoki Bere gandugalduu ??????,Geo-political
4905,"@Mohan Vasista  <br>Daridra buddi yarige erathe antha jagathige gothu ð<br>Astond buddivantharagidre helbekithu namige reservation beda antha,<br>RSS, HINDU anthira RSS chief yake yavaglu bramanre aagbeku bereyavrige bitkodi aaga nodana.",Political
3409,First interview madthaedra nimmage  manna mareyadde elwa,Others
1402,ee sidramulla Khan ge Keli ishtu guarantee kotti manege hogi malgada,Political
6217,Great young man ansul saxena. 96 desha drohigalu dislike madiddare,Political
993,Sudeep noesi mathadodra bage niwu matadodu Bala tappu Ganesh mungaru male hit adag niwu interview nali hegla matadedri Marta betra kannada Dali nalge Li niyatu irodu nam d boos kannada da hulli darshan sir ge matra yawtu bere yawra bagge tappa gi mathdla  as Ganesh fan d boss is great than Sudeep,Others
919,bomb blast madi eshtu janaranna kondu saysidru.. innu sakagilla ee boli maklige,Violence
286,Satya iduâºï¸innu movie alli torslikke agallaðð»maiyella jum ansutteâºï¸avrella manushyare alla Darmandharu tertosrist galuâºï¸,Religion
6904,Kudakara samrajya,Gender
558,Lee childu Surya .. avaga tea martidda iga desha martiddane ...  Thika muchhkondu hogu...,Violence
570,Lo btv sule makla bucket  hidyodu  bidro sule makla btv,Gender
4356,"t surprise,,,next &quot;TAGURU DICHHI,,deside,, people,,nayigalu evarannella gellidre gudsi gundantra madtare",Political
2737,Sak bedro.banki hacho kelsa beda matte dudd Hak ide desha da jantege,Political
1295,Siddu bettukottbedu matdalli avruva amele nenu cals tago k na  bomayi siddu keltoero eduke answer kodu yak bere bere matdtediea sidown bomayi please kuthka,Gender
358,Nimage mana maryade illa bommai thu muka didre cm GE seet ge avamana,Political
2841,KANNADA SOOL3 MAKLU ALREADY UCHE KUDITHA IDIRA,Gender
4638,Hello en sadhane madidale avlu,Gender
7448,Jammu Kashmir en Pakistan avar appanda..namma Soldiers enu bitti biddilla,Geo-political
7938,Hale mudiya saayuva samayadalladru dwesha bidu en hottkond hogtiya ninna government na bitt hogu ee dirty politics na ille swargakku ninna kantri rajakiyana togond hogbeda,Political
4690,At least swalpa adru concern bedva che ivlu oblu hudgina paapa avru,Gender
1928,Pratam ninu nayi tunnige huttidu bevarsi nann magane ninu tunni magane,Gender
2854,Kapi mundeve nimma nodudre asayya agutte sariyagi batte hakondu kuthko haage nimm thaayi ninu eno sadhane madilo thara heltidare istella buildup beka ninge ri inthavna bittu modhlu ollolle sadhkarannu thilisi kodri kachada channel gala,Gender
7559,"Dalitar Mele Halle adaga Avar manegalige Benki hacchi suttaga Nivella yalli eddri agelli hogittu nimma dwani, Brahmins mele Halle adag ,adu Hindugalu,Hindu Dharmada mele Halle,Ulidavar mele Halle adag adu bari Jatige matra simita agirutte Alva?",Violence
1339,Yentha thayi.. yentha maglu.. ebru. Appa naave punyavanthru.  Ebru suside madkondu sathu hogi.. anna dhanda bhoomi bara neevgalu.. nim thama anthu A1 porki.  Yelarigu kalu aglskonde bandhidhira.. estella mariyadi hogidhe.. avra amma yaru madhe ero thappu madilla antha bere hekthovle..andhre avara amma yestu beeli harirolla.  ?? Nimna nodhmele ne gothagithu.. nin antha hasaya janagalu ennu edhare antha.  Hote paadige mado prostitutes gale nim gintha parvagilla.. ????,Religion
2122,"shilpa sister awalige nachike maan maryade yenila bidi yala bitakidale aa lofar Munde,tho awal jammke",Gender
8046,Motu patlu bommayi bogale bjp,Political
4788,So called patrakarta agni eega elli,Gender
1775,inta hudgina nan yellu nodilla thuuuuuu nachike ilva avlige,Violence
6214,Huchhanan Maga pratam,Gender
3711,Thuuuu ninna olle hudgir tara Mukwad hakonda natka madolu ninu very bad girl,Gender
5389,yavo ivella????,Religion
784,Thoo Intavarannu interview madtara?,Others
7648,King tunni solemaga,Gender
3852,Hye nimmmoun tull sole magane avlenen ogiltiyale ninu anta solena mindriguttid sole avlu,Gender
6048,Desha droha kelasa maadalikke kaaytaa irtare. Deshadalli mandatory kaydeyagi once for all hijab kittu bisakuva law tarbeku. Pade pade court case deal maadlikke government namma tax money halmadbekagilla.,Political
2475,"They first convert. Admele fake passport madi dubai or Saudi ge kalisthare, allinda ellige kalisthare antha god knows. baaddi maklubsulerige huttidav ivu",Geo-political
3443,Ivlu en field alli hesru madidlu anta big boss avru tagondru... only merit was her viral video,Violence
6748,Edhu interview thuu ??,Others
6821,Sullu siddharamayya,Political
3401,Btv news avrge jodna thagond hodibeku,Violence
7894,mahadayi nadinu maharashtra seratte aa bevarsigalu bandu ille okkarskotare,Gender
3790,Film alli hero real life vilan,Others
6026,Btv news channel ban madiii,Others
5103,Dagar bayalli kannada beda,Gender
3495,Idiot Meghana.....,Gender
4545,Gambhir Anna huccha agidane ??????,Gender
2145,Yavva yasht madhuve de happy marriage life ?? yavva evan joti aadru chandage sansara madakondu hogi,Gender
5610,ee ella jatiyavrigu madbeku mari habba,Violence
2127,Ninnammman sulemunde. Nin Dodd dagar ninna first show inda karnatak Dinda orgade hakbeku,Gender
6091,Muslim nodidre sittu barathe....,Religion
2272,B TV is some shit channel inta jaanara interview madi hesaru haal madkotare,Others
5229,Nija. But MODI hesru helkondu NAAMARDHA SHIKANDI galelaaa MLA MP seat nintkondre hege vote maadodu?,Political
5675,BJP illa andidre enagtha ithu antha kwledge irorge gothu muchkond ogappa,Political
983,Innu beledilla avagle build up kottu maatado pratham yenu yogyate ide akbar is king secularism ge innond hesru secularism gottilde iro stage mele kooro e hebbatta galige oddu horag haaki,Gender
5458,Hey bolimagane 25 koti bagge maathaadirodhu D Boss Neenu muttaalnange maathaadbeda,Gender
5192,He bjp sarakara tu nimma jaati  jaati madde jagala hacchuvaga  nimage mana maryade ella yakandre narendra  modi nimmappa alva thuu  nimmmmn,Political
801,En sadhne nooo  enooo dharidhra Chanel hooo karma ???????????????????? yast jana makl antane gotilla sh*<b>***</b> alle jagla madtale tuuuuu,Others
3643,Sagar friends galella   sonu akkana  bathroom video nodi yeshtu sala jatka hodididaro,Others
5667,Evlge one chances kodbardhu seriyal ge,Gender
4880,Tullappa ð???ð???ð??? drunken member<br>Neenu gandsu adre sabru ge hello tulla ð?? ð?? ð?? ð?? <br>Bevarsi tune vunnu ð?? ð?? ð?? ,Gender
6156,Election time canvas ge stars baroke agutte...cauvery protest banni andre...a film hit aitu a film hit anta matadtare...I agree ppl should encourge our films than other films...also these stars should remeber they have become stars because of kannada ppl before speaking about ppl.,Others
3267,Lee a dog mariyade tagibeda,Violence
7878,nange permission kotre ivagle aa huch hadshi makkalanna suttu koltini,Violence
3823,Ninnappana  thunni,Gender
1678,Saku sumnirappa.. Nivgulu kittogiro tukali flop pichargulu madodrinda ne ella kannadavaru tamil telugu hindi pichargulu nododu. Nivella bari bogale pichargulu madi janranna mangyan madtira. Hogi Rakshith Shetty Rishab Shetty Raj Shetty kaal kelage nuggi first cinema andre enu anta basics tilkolro nivella mass hero gulu.,Religion
909,nayi avalu,Gender
2906,Hucchha manasikkka ivnu kudidu  taitu e bevarsy hendtige hodedu saysi bitta,Violence
857,"Tajmilanadu Janagalu karnataka da yella companies allu edrae e Nan maklu na hodisbeku ha kaade kaveri neer kelthare ekade yella companies kelsa kithkothidare namma Karnataka sarkara kannadigarige meesalithi kottilla, formers ge neeru kooda kodsthilla waste govt.",Political
7809,"Mutton 50 rupees discount kotru anta news munde bandi awrge support madtiya?<br>Address kodu magne, mamsa kalstini ninge free agi.. tind sayi",Violence
6013,Nim ammangu nin dagar avtara notakhagtilla yavaga saitiya anta helatara Ede  mukada experience tuu nindu ondu janmana,Gender
4924,Thatha muslim agi convert agu yake badkonthidhiya gube thara,Religion
599,Next match ede dirty picture ððð,Political
1556,Hi nahi inddha nim gowdru jathi hallagoithu,Religion
7313,Nin Amman nin bathroom ne thorselvale bosudi,Gender
3934,Evnu yaru bevarsi chakka circle nalli dudd kelak hogu sumne,Gender
1623,Tappu Tappe yaaraadrenu? Neeru Bittiddu Tappu ,Gender
2704,@Razak Ramlath nin appa hucha bolimagne,Gender
7470,Neena I kalla.berayaregahelutheya.,Gender
1959,Bjp mulla gala film,Political
6027,ee movie sullu madhu sir ??,Others
1471,Dagar thull sonu,Gender
5801,Yantha magluge janma kotama ninge doda namaskara ??????,Gender
3145,Bidi hogli anbedi ma nim maglu matte haage antira,Gender
1594,@Chandra Prasad kashmir nalli idda yella hindu galnu sayisi odsidare gottaita bari kashmiri pandits nalla first learn history,Geo-political
5002,Terarist avaru yare agirali aa sule makkala na .  navu indian yellru deti avarannu suttu hakona .aa terarist gala hendati  makkalanna ittu kollona ava.tappugi alla tayi makkalante .aavag gottagutte hinta hindu gala mele tappagi nadedu kollo terarist sule makkalige,Gender
2729,Nanu hucchi hoydhu bido niroo kudubekadre shotha niroo kudiyoge haste delath irbeda,Violence
6278,Aythu swami neevu helidahage navella cinema nodutheve. Eega yara mele dwesh karuthira? Nimma dvesha swalpa controlnalli idi swami. Kashmiri panditharu anubhavisidakje nammellarigu dukka untu. Eega neevu yarige buddi kalisalikkehoratiddirii. Nodi swmi namma purvajaru inthadde thara kasta anubhavisiddare. Avara baggenu yochisi. Eega janaralli dvesha huttisi jana jeevana kedisslikke hogabedi. Nimma manege hogi nimage estu beko adtu kanniru haski. Deshakke thorisabedi.,Political
1947,nayi  meghana hucchi,Gender
7697,Siddramulla Khan ge <br>daily 10 number uta beku avnu upavasa kudo mate baralla????,Gender
3323,Swamigale mamsaharavannu namma cm nillisilla. Neevu congressnavaru swalpa  nimma bashana band Madi. Nimmage dikkara. Manege hogi. Jai modiji,Political
2805,Soole munde,Gender
5933,Sarkarakki takka.sabapate<br>Sareela.,Political
5242,Secular secular anta anno ghandoos watch this movie..,Others
6106,420 siddya bennalli gudya,Gender
1064,Enu ivalu mathadthale mathadakkene gothila ivalige,Gender
6724,nonscence tagondu nivu interview madtidira .......tanna tayiayanna media dalli heg respect kodabeku annoda gottilll.....hennu jaatige avamaan adu,Others
6032,Hindina kaladalli doddoru bandare thande thayi bandare  tale bagisikondu kuthukollo ondu kala ithu ade channagithu kalumele kalu akondu dhuimaku raniru ivaru anchor modalu dress hege akolbeku annodana kali chanadana tv nodu,Others
7927,"@Bharath NP ðâ¤ Kalaberike Nivugalu, Navu E deshada mulanivasigalu bekidre DNA testige ready edira?",Political
989,Looti hodiyo bagge mathadi next cm siddhu  Karnataka king congress,Political
4482,"ivlu olle malli thara iddale , istu kobbu irbardu ,",Gender
1108,Nkn report madro,Others
5979,"<a href=""https://www.youtube.com/watch?v=QdUAOW1fvyk&amp;t=3m50s"">3:50</a> maanige anna thinthira edu yav sede helkottiddu??????",Others
5922,Nim kittagiro channel g nun yekda sikhaka,Others
6587,Le Bosdk nale nadiddu Saytiya yak beku le ninge sulemagne,Gender
3056,bere match league nodih.. Etc how discipline they are<br>Chillre nan maklu,Others
2101,Dayavity sabara manaege kalisi e buudana,Gender
3701,"Hey sonu common sence elva... Nim amma paapa eno avr life bagge heludre, kothi kothi thara adthiyalla... Elli heege yaav thara behave maadbeku anno culture elva... Ammange yaav respect elva nin hatra...  First decent annodu kali... Neenen ele magu alla... Avrna heeg edhrusi neen heeg agirodhu",Others
4363,Kothi evlu onde thara avre,Others
3780,Haudu kaleda baari congress ninda jumping madidavaru evttu matte thavaru manege barthare aste adakke neevu bobbe haaki dodda issue maadabekagilla godi midea ð¡ð¡ð¡,Political
5057,Thuu dagar sonu gowda,Gender
992,Congress GE mettali hodiri siddu ge sullemaga DKSI GE hodiri,Gender
4377,Freedam apps yaru sulemaga avana mele ond FIR haki bosudi maganige,Gender
2432,dhar anta hesariroru ella pandits ee..pandit agi ulida pandits na konda fame avnige sallutte,Geo-political
6383,"Ivalu yavalivlu, yar horge haktare.  Avru hijab hakkond barbeda antha heltirod, ivgala talege chennagi hulabittiddare ivr community avru. Clean madakke sadyave illa,  mulugi hogiddre blind believes li",Religion
2384,Tuuuuu nimma lee bucket channels... Tuuuu nimma... Sonu loud na akondu,Others
277,Jai bheem jai tippusulthan,Religion
5058,"Nija heludru, Congress Baddi maklu idekkella support madtare ......BJP ega irodrindane Hindugalige Shakti jasti agide ee reeti cinemana dairyavagi tegitidare release madta idare ide place alli Congress iddiddre ee tara conemaglu bartirlilla shooting shuru kuda madoke bidtirlilla ",Political
7133,"Hardik edit Muclaare ??????????<br><a href=""https://www.youtube.com/watch?v=PjzJRJPTUWo&amp;t=1m37s"">1:37</a> Tullare",Others
3990,Ee mudi goobege bari vayassaytu aste.,Political
2915,sule makla enn dru D Baaaaaassss anta avn hooos kudkond ogbedi swlpa thappu sari  yochne madi support madro badethava.,Gender
5152,Yaaru ah huduga na baiyyolla. Avalu young idhale mistakes aguthe yaaru saacha alla. First leak madida huduga nannu balckmailing plus man baanga maduva case haaki olagade haakbeku.,Religion
4477,"Kereyaneeru kerege challi, anno hage,<br>Nammavare Nam DeshaDa janakke ??<br>ISI Ugrara Groups, idi vishvaDavaru Seri Ban Madokke agalva??<br>Huduki Hodeya Beku  Ellaru seri!!",Geo-political
7097,Kachada kageri ivanigiro bele ella hoytu holeli,Gender
4608,Nammavare munde namage kashmir fails aaguthe. NODTA IRU,Geo-political
3620,hawdo sister yala aa munde trah irla,Gender
4942,"Vikas sister Sonu, adke papa vikas sikapatte urkota idane",Gender
1541,Evln nodidre temt aagall guru evlu oblu dagari,Gender
6956,Nalyak cm,Political
134,Cholist nann maga,Gender
3841,Why is this Pakistani here..? Alli ganchali madidakki odsiddare ansutte....,Geo-political
2173,"BJP Preritaru kelvaru janaranna,Jaati,Dharma,mandira masjidi,Love Jihad,Mannu Masi anta heli 20% percent Muslims ranna neechavagi torisi 80% Hundugalu Naija samasyegalinda janara dikku tappiso hunnara bittu intaha apadanegalalli yavude satya iruvudilla...Jana intaha mosada aata dinda yavag yachettukoltaro...?edu nijavagidre kendradalli sarkara yaraddu ? Innuvarege yaake yavude karyacharane yagilla?Swalpa jana yochis nodbeku...",Religion
3734,Neev btv news navru enta third class nan maklu neevu ee kalva kuruskondu interview madtidiralla thu kalva nan makla,Others
5424,"Avala bai nodi ð¤£ð¤£ð¤£ð¤£SHE EATS DOG ð¶ SHIT <a href=""https://www.youtube.com/watch?v=gUdwsbrrySc&amp;t=0m08s"">0:08</a>",Others
5992,Gandu tamma ninge makud mele vadyad bittu waste Tara idane,Gender
4370,Ibru dagargalu. ?? duddu kotre ibru bartare blue and red,Violence
714,Tukali third class show.. Ee muru bitta rajkarni show yavan nodtane,Others
2461,Hindu Rashatra bagge dikkar hakuva ninu desh katto ninu muslimaru ninage baanvaru hindugala haad hagale kole maadidavru ninna bandugalu che nayi Hindu aagi huttidde ninu duranta.,Religion
4653,India na secular madidu doddu thoppu...Namma olle thana na asahayakate ankondidare...,Geo-political
6353,He sole ninu nam mane hennu maklu.bage mathadbeda Kane sole ninu nijavaglu solene bosidike,Gender
4869,soole makle gujrathalli maadiddenu porota maadi thindadda aadi chennagi neevu kone aagthaa banthu,Gender
2600,Yak nam kanadigaru bedkontare nam kannada yavaglu top intha lofer huchu nayigal atra kannada matadi anta she is not worth to tlk kannada ?? we love Kannada ????? saniya thu Nin janmake ????,Gender
5043,boli maga tanu bp jasti madkondu namdu jasti madtane,Gender
5225,ee daridra sarkara koskara eshtu tragedy and savu nodbekaytu,Political
1728,Nayee  soole maga bogaltane,Gender
4804,Ee BTv avrige mana maryade illa ninantha kittodalna karkond bandidare,Violence
1074,Ee fake story movie yannu nodi samajakke yavude olithu illa. Budhiyillada sangigalindagi producer hana madida.,Religion
3204,Nimma appa elva nin antha magalu nodi hodi hodra papa avaru nimma antha magalu yarigu beda antha nine kelko deevarali,Gender
3257,Adakke karanaradavarannu ...ellarannu gallige hakale beku.....Nivu nijwagi Baba Sahebara Samvidhanakke Hindugalige Nyaya vadisabeku,Religion
